METAPHORS,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,SUM,AVERAGE,VARIANCE,
paroi,2,2,0,0,4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,40,0.430107527,0.812996727,
chevreuil,2,0,4,0,0,2,0,0,2,0,0,0,1,3,0,0,0,0,0,0,2,0,1,2,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,41,0.440860215,1.031790556,
diagonale,1,1,4,0,0,6,0,0,1,0,0,0,2,5,0,0,0,0,0,0,2,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,50,0.537634409,1.403459561,
serpents,1,1,0,0,1,2,0,1,0,0,0,1,0,4,1,0,0,0,0,1,0,6,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,3,1,0,2,0,0,1,0,1,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0.548387097,1.076437588,
soumis,0,0,2,0,0,1,0,0,1,0,0,1,1,1,0,2,0,0,2,0,2,0,2,3,0,0,0,0,1,0,2,0,6,0,0,0,5,1,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,0.591397849,1.287751286,
poisson,0,1,0,0,1,0,0,1,0,0,0,0,0,1,5,0,0,8,0,4,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,1,6,0,0,2,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0.623655914,2.258999532,
se taper,1,0,3,0,0,2,0,0,1,0,0,0,1,0,0,7,0,0,0,0,4,0,2,1,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,5,0,0,0,1,0,1,0,2,0,0,0,0,1,0,2,0,0,0,4,0,2,0,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,59,0.634408602,1.625759701,
accroupi,2,2,0,1,5,3,2,1,0,0,2,1,0,5,1,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,1,0,2,0,4,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,0.64516129,1.361851332,
escrime,1,4,0,0,5,2,0,1,0,0,1,0,0,3,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,1,0,3,0,0,0,2,2,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,2,1,4,5,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,63,0.677419355,1.546984572,
patte (à 4 pattes),2,3,1,2,0,5,0,0,1,0,0,0,1,2,0,0,2,0,3,0,3,0,4,1,0,0,1,0,0,0,1,0,0,0,0,3,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,4,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,64,0.688172043,1.651706405,
arrière,2,4,0,2,5,0,0,2,0,0,1,1,0,6,0,0,0,1,0,2,0,4,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,5,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,5,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,71,0.76344086,2.095605423,
tétanie,0,0,3,0,0,2,1,0,1,0,1,1,1,4,0,0,0,0,0,2,3,0,2,1,5,3,2,1,1,1,0,0,0,0,4,0,1,3,0,4,0,1,0,3,1,0,0,1,2,2,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,74,0.795698925,1.490416082,
nausée,1,6,1,2,0,3,0,0,1,0,2,1,1,4,0,0,0,0,0,0,2,0,3,1,0,4,1,5,1,1,1,0,4,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,1,1,0,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,75,0.806451613,1.831697055,
genoux pliés,0,2,3,0,0,6,2,0,1,0,0,0,1,2,0,0,0,0,1,0,2,0,3,1,0,0,4,0,0,0,0,0,0,6,0,0,1,1,0,0,4,0,0,0,0,3,0,1,0,8,0,0,0,0,1,7,0,0,0,0,3,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,77,0.827956989,2.709209911,
ramper,1,1,2,1,0,5,0,0,3,0,0,0,1,3,0,0,0,0,3,0,7,0,2,1,0,1,2,0,0,0,2,0,0,0,0,0,6,1,0,3,0,0,0,1,0,1,0,4,0,4,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,4,1,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,78,0.838709677,2.180224404,
guêpe (vol d'une guêpe),1,0,2,0,0,4,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,6,1,0,0,3,0,1,0,0,0,0,0,0,0,1,6,0,0,0,6,0,2,6,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,3,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,79,0.849462366,3.129266012,
paralysé,0,0,1,1,0,1,0,0,1,0,3,1,1,0,0,1,0,0,1,1,2,0,1,1,4,0,1,3,2,2,1,0,0,4,1,0,1,1,0,0,0,1,0,7,3,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,1,3,0,0,1,2,2,2,1,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,1,4,0,1,0,2,0,80,0.860215054,1.447639084,
inerte,1,1,0,0,5,0,3,1,3,0,2,2,0,5,1,0,0,1,4,3,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,1,4,2,0,3,0,0,3,2,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,1,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,81,0.870967742,1.896213184,
couloir,0,4,0,0,5,0,0,3,1,0,0,1,0,6,0,0,0,1,0,6,0,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,2,1,0,8,1,0,0,0,1,0,1,3,0,0,0,0,4,1,1,0,1,3,0,0,0,0,0,0,1,2,1,5,2,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,82,0.88172043,2.583683964,
insecte qui vole,0,0,1,0,0,4,2,0,1,0,0,0,1,0,0,0,1,0,1,0,3,0,1,1,0,1,3,0,1,1,0,0,0,7,0,1,1,0,0,1,0,1,0,4,6,1,0,2,1,2,0,0,3,0,1,0,0,0,0,0,4,0,1,0,0,0,3,5,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,82,0.88172043,2.36629266,
à genoux,1,1,0,0,5,0,0,1,0,0,1,1,0,1,2,1,0,0,0,2,0,4,2,0,0,1,0,0,0,1,0,0,0,0,0,7,2,0,0,0,0,0,1,0,5,0,0,6,0,3,0,0,0,0,4,1,2,0,0,4,0,0,1,0,0,0,2,4,1,3,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,82,0.88172043,2.692379617,
supplication,0,3,0,0,3,5,0,1,0,0,2,1,0,6,0,1,0,0,6,3,0,1,1,6,0,1,1,1,1,0,0,0,0,0,2,0,2,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,1,0,1,0,1,0,1,3,1,3,0,0,0,0,1,0,1,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,83,0.892473118,2.183964469,
ramer,2,3,0,0,3,0,0,1,0,0,1,2,0,6,1,0,0,0,0,1,0,1,1,2,0,0,1,1,0,1,0,0,0,1,2,3,4,0,2,0,0,4,0,0,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,0,0,5,1,3,6,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,1,0,0,0,84,0.903225806,2.523141655,
fermé,2,4,0,0,6,0,0,1,0,0,2,1,0,1,1,2,0,1,0,2,0,4,5,2,0,3,2,1,4,1,0,0,0,0,0,4,0,1,0,0,0,0,1,4,1,0,0,1,0,3,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,1,1,2,1,4,0,0,0,3,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,86,0.924731183,1.961664329,
bras fermés,3,4,0,0,0,0,0,1,3,2,1,1,2,2,1,0,0,0,0,3,0,3,2,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,2,3,3,5,1,0,0,3,1,0,0,1,0,0,2,0,1,1,3,0,0,2,0,0,1,0,0,0,1,3,1,4,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,87,0.935483871,1.561009818,
verticale,1,1,4,0,0,6,0,0,4,0,0,0,1,7,0,0,0,0,3,0,2,0,1,1,0,5,2,0,1,1,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,3,0,0,3,1,0,0,4,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1,3,0,1,0,0,6,4,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,88,0.946236559,2.855773726,
militaire,0,0,4,0,0,4,0,0,1,0,1,0,2,1,0,6,0,0,1,0,2,0,5,1,0,0,1,0,1,1,2,0,2,5,0,2,5,3,3,0,0,0,4,0,4,0,0,2,0,2,0,0,0,0,1,0,2,0,0,0,6,0,0,0,1,0,2,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,89,0.956989247,2.541608228,
petit,1,1,0,1,5,0,0,1,1,0,2,1,0,7,1,0,0,1,0,6,0,4,1,2,0,4,2,1,3,1,0,0,0,0,0,5,2,0,0,0,1,4,0,1,6,0,1,1,0,3,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,91,0.978494624,2.499532492,
chasse,0,5,0,0,4,2,0,1,0,0,1,6,0,2,0,0,0,0,0,2,0,1,1,4,0,2,0,0,0,0,0,0,0,8,1,4,7,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,2,4,1,0,3,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,4,0,1,0,0,1,92,0.989247312,3.423796166,
pincé,2,1,0,1,5,0,0,1,0,0,3,2,0,6,0,0,0,3,0,1,0,1,3,2,0,2,1,3,5,0,0,0,0,6,0,0,0,3,6,0,0,4,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,2,1,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,92,0.989247312,2.858578775,
se cacher,1,1,0,0,5,4,0,2,0,0,2,5,1,7,1,0,0,3,0,3,0,1,1,5,0,1,0,0,1,0,0,0,0,2,1,5,0,2,0,0,0,1,3,4,4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,0,3,1,2,0,0,0,0,2,0,0,3,0,0,0,5,0,0,0,0,0,4,2,1,0,0,0,98,1.053763441,2.5514259,
cruauté,1,0,1,0,0,2,0,0,1,1,1,1,2,1,0,0,1,0,0,5,4,0,3,1,0,4,2,5,1,3,1,0,0,0,2,0,8,5,1,0,0,3,0,1,2,1,0,2,0,0,0,2,0,0,1,0,5,0,2,0,3,0,2,0,0,0,0,3,1,1,0,1,2,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,1,0,100,1.075268817,2.418186068,
maladroit,1,0,1,2,0,5,3,0,4,0,0,1,1,6,0,2,1,0,2,0,3,0,1,1,0,1,3,6,0,1,0,0,6,0,0,3,1,1,1,1,0,3,0,3,0,1,0,6,0,2,0,0,2,0,1,2,1,0,0,1,2,0,0,0,0,0,1,3,4,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,100,1.075268817,2.461664329,
sauter à l'élastique,2,4,0,3,6,0,0,2,0,0,0,1,1,2,4,0,0,0,2,0,0,2,1,0,0,3,1,0,0,3,0,0,0,0,0,0,2,2,0,8,0,4,0,5,0,2,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,1,4,1,0,0,0,0,0,0,4,3,0,0,0,5,0,4,0,0,0,0,1,0,3,1,100,1.075268817,2.679055633,
croisement,4,5,0,0,5,0,1,1,0,0,2,2,0,7,2,1,0,1,0,5,0,1,1,1,0,3,1,1,3,0,0,0,4,0,2,0,1,0,2,0,0,4,0,7,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,4,0,0,0,0,1,0,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,101,1.086021505,3.03599813,
hostile,0,0,3,1,0,1,2,0,1,0,3,1,2,6,0,0,0,0,2,5,1,0,3,0,0,5,1,2,1,1,0,0,0,0,3,0,5,2,1,0,0,3,1,2,1,2,0,2,0,0,0,0,0,0,1,0,5,0,0,0,5,0,1,0,0,0,1,4,1,3,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,3,0,7,0,2,0,101,1.086021505,2.601215521,
parallèle,1,2,4,0,0,4,0,0,2,0,0,3,1,6,0,0,0,0,1,0,2,0,1,3,0,5,2,2,0,2,0,0,0,0,0,0,1,1,5,1,0,6,4,4,0,0,0,1,3,3,0,0,3,3,3,0,0,0,0,0,2,0,0,0,0,1,0,2,1,3,0,4,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,101,1.086021505,2.818606826,
voilé,2,2,0,6,4,5,0,1,0,0,1,2,0,6,0,1,0,0,0,2,0,1,3,2,0,2,2,3,3,0,0,0,2,0,3,0,2,0,0,0,3,4,0,3,0,0,6,0,1,0,0,0,2,0,0,2,1,0,3,3,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,101,1.086021505,2.644693782,
droit,3,5,0,0,5,1,0,2,1,0,1,3,1,6,5,0,0,2,0,0,0,5,1,2,0,1,0,1,2,3,0,0,2,0,0,0,1,1,5,0,2,1,0,1,0,3,0,0,1,2,0,0,0,0,0,1,3,0,2,1,0,0,1,0,0,0,0,2,1,4,0,0,0,3,0,0,0,2,2,0,3,0,4,2,0,0,0,1,0,0,0,0,1,102,1.096774194,2.28401122,
dégonfler,1,6,1,0,0,5,0,0,1,0,3,2,1,5,0,1,3,0,0,0,4,0,2,1,0,2,3,2,2,1,0,0,0,3,0,0,8,2,0,1,0,7,0,4,3,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,3,0,103,1.107526882,2.988312295,
périr,0,1,0,1,3,6,2,1,0,0,2,6,1,4,0,0,0,1,8,2,0,1,4,3,0,1,0,1,1,0,0,0,0,7,0,7,0,1,0,0,2,1,2,1,6,0,0,0,1,0,0,0,0,0,0,3,0,2,0,5,0,0,1,0,0,0,0,4,1,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,103,1.107526882,3.466573165,
